path,0,1,2,3,4,5,6,7,8,9,10,11,12
PID_ALK2_PATHWAY,0.0084816477196485,-0.1397434049161585,0.2688818927725237,0.0512583003394843,-0.186304476834185,-0.1719765970052374,0.1362932630104912,-0.2244281004884073,0.2441893682411861,-0.054101440837944,0.2100602855880518,1.0420351559540817,-0.1967018585446171
PID_AMB2_NEUTROPHILS_PATHWAY,1.0833103942547406,0.6624440319051323,-0.7813187661776333,-1.2196726348670457,-0.0789746064846074,0.996683359467093,-1.280845912023165,0.797834828656938,-1.189478735581838,-0.4181373129303979,-0.8126295151988103,-0.7955299650746771,-1.51777459125296
PID_AP1_PATHWAY,0.181333891913419,-1.007662575206876,2.4861206131449367,-0.7283355031433367,-1.1068428487158686,-0.387646000920329,1.0711293747345385,-1.6436974914741511,0.823167893151364,0.0385090053125858,-0.118069404010685,3.399390658741101,1.4867904188871732
PID_AR_PATHWAY,-0.0954141149671015,-0.3955378275138188,-1.79983585390513,2.095636160816188,-0.4683089317075423,-0.3928777458812315,2.454090806505185,-0.5023669347472751,1.165502412291419,0.0401717174293507,-0.6525953500875901,-0.1824589312632764,1.5595124319124345
PID_ATF2_PATHWAY,0.4696237186954636,-0.3701550049838733,2.223328367045561,-1.5105423055513876,-0.8150390162229983,0.058563951315008,-0.264290979746842,-0.8900540084560818,-0.0811343468061602,-0.5761481665249263,0.0006234493409775,2.191113060777212,1.738204796670111
PID_ATR_PATHWAY,-0.4270353898374713,-0.5331116899593328,-0.3704153355588701,1.5506680162841169,-0.5420986237148852,-0.5087749556309389,1.9546459185826977,-0.5935450158332134,1.2693010990494236,-0.3705944621804926,0.0666795418459667,-0.2859361703470141,0.3843402400616632
PID_AURORA_A_PATHWAY,-0.3205385780020987,-0.6806559181765067,-0.1585184050230719,1.3632090595543385,-0.5877842187246364,-0.4344167105857854,1.5589435882644886,-0.4083525372472042,1.6995771506508637,0.1409922873104042,-0.2114691657928728,-0.3542482168392089,-0.5238387035906189
PID_AURORA_B_PATHWAY,-0.5056920436883728,-0.6519718983123894,-0.5533766675616443,1.8614757544477123,-0.6722364444684965,-0.6180550753817096,2.308872102207624,-0.5701266526908397,2.182315728899449,-0.3752523138807082,-0.5221537418790593,-0.3072243393139439,0.8580399133443071
PID_AVB3_OPN_PATHWAY,0.0726436634782766,-1.1109918159897862,2.4491864959524783,-0.3315341286152857,-0.9844316219946008,-0.2309605326021555,0.1248516230417007,-0.8187067863760797,0.5688829784626379,-0.1551707367819048,0.9787323110635698,0.9100068501734394,-0.922366213273929
PID_BARD1_PATHWAY,-0.2364010590475344,-0.6317484454058574,-0.4467873616989733,1.6181193298712475,-0.7668745408381582,-0.4627128878194075,2.1288157717531897,-0.6611084357542376,1.1885539403835064,0.0520668876330213,-0.2657025829710929,-0.3841244598923048,0.8696940147186834
PID_BETA_CATENIN_NUC_PATHWAY,-0.2596727611212079,-0.8607525229396678,1.4822074715773317,0.9236635522985156,-0.9697441469855692,-0.8958297582648658,1.258443265007387,-1.420593000537765,1.352802553543125,-0.2403249654354451,0.7632256848759897,0.9993960994298776,0.3139348537254816
PID_CASPASE_PATHWAY,0.1304791464873309,0.290145512879646,-0.9383622052800078,-0.1374319521250103,0.0767170748663997,0.130937850076684,-0.2937393021000955,0.1615712933466064,-0.3816019412042895,0.0839770557498063,-0.3805186868683445,0.0870819775092851,17.95403698126511
PID_CD40_PATHWAY,-0.4028420938773323,2.1006377152500204,-1.0606365057289218,-0.9817697278073731,1.240416256955872,-0.0752211972291535,-0.900970199366882,-0.0417531545051943,-1.168089949242535,-0.7879212570022559,-0.3079135356608339,-0.9392312220870634,2.197084337274007
PID_CD8_TCR_DOWNSTREAM_PATHWAY,-0.1123635197808764,-0.118024758265715,-0.0708474469699713,-0.206108965350467,-0.197396299204725,-0.1312775455761033,-0.1394731525498588,-0.1279652883755392,-0.1680973749505192,-0.2539529199529864,-0.1279098683308413,-0.1257255628366699,28.896779350847105
PID_CD8_TCR_PATHWAY,-0.1001873664799369,-0.078454292844109,-0.0706200337318048,-0.1894223207880699,-0.1437893034029508,-0.1150949285565509,-0.2098804808140889,-0.106254993266058,-0.2203547243435426,-0.1862931463713078,-0.0933292623871414,-0.0599862292347929,25.5856345811886
PID_CERAMIDE_PATHWAY,-0.1675232503852223,2.260093730084834,-1.1260788012833478,-1.443097363194168,1.371163590997689,0.2915970065548203,-1.4438441636436523,0.211653008298518,-1.5849834061998371,-0.9666449646632732,-0.3999590071924306,-1.22518029533718,0.3681216900012804
PID_CMYB_PATHWAY,-0.9307026679898271,-1.7136502849820112,0.6221193718748866,2.6465739934007746,-1.204152781500311,-1.06072392252915,2.840555550166794,-1.0988024756562818,2.520209248614696,0.9129541616124536,0.7593616373100169,0.9146887129118496,1.6054597104518051
PID_CXCR4_PATHWAY,-0.1600666508037805,-0.1665391175797669,-0.1373864049422015,-0.0472746213523721,-0.1614601550392434,-0.1837467962011849,-0.0604451733531362,-0.1612827966880359,-0.0982998678138499,-0.0564485507534864,-0.1571573189181817,0.1620699802009503,27.644153350804228
PID_DELTA_NP63_PATHWAY,-0.6628198559445442,-0.6224509703671345,-0.9784792702483855,2.2635030081130023,-0.2330434295706898,-0.7329168803642729,2.5101283677176327,-0.9062975269756488,1.772070196371999,0.1323219513375137,0.221974475794744,-0.7413062260715293,0.0753458723920136
