"",Z,M,highest,fe,Gene,Specificity,Precision,ExpressionFraction
RBPJ,-3.13707731589185,-0.577145120228845,FALSE,0.124390243902439,RBPJ,0.816162747293766,0.093836246550138,0.124390243902439
NCBP2,-3.14027987452442,-0.59294675076257,FALSE,0.103658536585366,NCBP2,0.836279069767442,0.0880829015544041,0.103658536585366
ZWINT,-3.142861932672,-1.45076180686296,FALSE,0.0292682926829268,ZWINT,0.90691685062546,0.0452830188679245,0.0292682926829268
GOLIM4,-3.14287850433174,-0.450289563460579,FALSE,0.389024390243902,GOLIM4,0.573818323283408,0.127091633466135,0.389024390243902
GOLPH3,-3.14332286463173,-0.506138950244029,FALSE,0.148780487804878,GOLPH3,0.792056950168603,0.099025974025974,0.148780487804878
CREBBP,-3.14348441548193,-0.983550724823177,FALSE,0.0487804878048781,CREBBP,0.888745387453875,0.0622083981337481,0.0487804878048781
NPEPPS,-3.14365623913078,-0.517963314877366,FALSE,0.136585365853659,NPEPPS,0.804599850411369,0.0968020743301642,0.136585365853659
MAGOH,-3.14628052454919,-0.355475611446124,FALSE,0.20609756097561,MAGOH,0.734643734643735,0.107438016528926,0.20609756097561
MED30,-3.14715367426695,-0.759841853259228,FALSE,0.0634146341463415,MED30,0.874445266272189,0.0711354309165527,0.0634146341463415
TMEM70,-3.14846866670703,-0.63199659479372,FALSE,0.0865853658536585,TMEM70,0.851920578957135,0.0817031070195627,0.0865853658536585
BRD3,-3.15045890647566,-0.922108933895343,FALSE,0.051219512195122,BRD3,0.8859357696567,0.0636363636363636,0.051219512195122
ACAP2,-3.1520852630154,-0.744850989588654,FALSE,0.1,ACAP2,0.840275195239866,0.0871413390010627,0.1
PUM2,-3.15403432037427,-0.537602028629231,FALSE,0.0914634146341463,PUM2,0.846239554317549,0.0830564784053156,0.0914634146341463
FRA10AC1,-3.15411765686708,-1.34727166905998,FALSE,0.0353658536585366,FRA10AC1,0.900939053581293,0.0511463844797178,0.0353658536585366
ASH1L,-3.15619709599312,-0.526039586493037,FALSE,0.170731707317073,ASH1L,0.770676691729323,0.102941176470588,0.170731707317073
TRIM2,-3.15821041110119,-0.376229015649668,FALSE,0.160975609756098,TRIM2,0.776651651651652,0.0998487140695915,0.160975609756098
GOSR1,-3.15955074412166,-0.839893968550999,FALSE,0.0682926829268293,GOSR1,0.869911176905996,0.0737812911725955,0.0682926829268293
TMED9,-3.15955074412166,-0.429370504225994,FALSE,0.26219512195122,TMED9,0.683508102955195,0.114666666666667,0.26219512195122
MTUS1,-3.16070919392032,-0.668969993081354,FALSE,0.124390243902439,MTUS1,0.817842478536768,0.0946196660482375,0.124390243902439
DNAJA2,-3.16572752284539,-0.333618068567764,FALSE,0.195121951219512,DNAJA2,0.743962264150943,0.10547132498352,0.195121951219512
MRTO4,-3.16821713516511,-1.77967150306985,FALSE,0.0146341463414634,MRTO4,0.919419970631424,0.0266075388026608,0.0146341463414634
PPP3CA,-3.17388222495484,-0.757750510550736,FALSE,0.0597560975609756,PPP3CA,0.877287007946775,0.0687237026647966,0.0597560975609756
CTDSP2,-3.17398394598518,-0.436604381117911,FALSE,0.126829268292683,CTDSP2,0.812173263629574,0.0936936936936937,0.126829268292683
MRPS27,-3.17406402456368,-1.04300541000297,FALSE,0.0341463414634146,MRPS27,0.901325478645066,0.049645390070922,0.0341463414634146
CPD,-3.17423329665462,-0.885261520298525,FALSE,0.125609756097561,CPD,0.818928504760127,0.0959925442684063,0.125609756097561
AHI1,-3.17459190988354,-1.74867779841312,FALSE,0.0341463414634146,AHI1,0.902430044182621,0.0501792114695341,0.0341463414634146
CYP4F3,-3.17602633246613,-1.05792246227321,FALSE,0.0792682926829268,CYP4F3,0.861723818350324,0.0801479654747226,0.0792682926829268
YWHAQ,-3.17831793280177,-0.348786066970696,FALSE,0.360975609756098,YWHAQ,0.601084430673896,0.125636672325976,0.360975609756098
C2orf72,-3.17857075829955,-1.9244139182663,FALSE,0.0219512195121951,C2orf72,0.913083425211319,0.0366598778004073,0.0219512195121951
ZNF814,-3.1824656913466,-1.37492951893878,FALSE,0.0317073170731707,ZNF814,0.903938167096062,0.0474452554744526,0.0317073170731707
SLBP,-3.18840799670225,-0.796438373317756,FALSE,0.075609756097561,SLBP,0.86235642830678,0.0770186335403727,0.075609756097561
NFE2L2,-3.19109025078496,-0.315558398764828,FALSE,0.253658536585366,NFE2L2,0.687547600913938,0.112493239588967,0.253658536585366
ENC1,-3.1999136999821,-1.03225687007151,FALSE,0.0426829268292683,ENC1,0.893271889400922,0.0570032573289902,0.0426829268292683
NOPCHAP1,-3.20041918789825,-1.15103518452219,FALSE,0.0365853658536585,NOPCHAP1,0.898895027624309,0.0518134715025907,0.0365853658536585
MMADHC,-3.20333152314033,-0.384570097541426,FALSE,0.254878048780488,MMADHC,0.687488097505237,0.112972972972973,0.254878048780488
TMEM243,-3.20439382703247,-0.485732768156419,FALSE,0.11219512195122,TMEM243,0.826378539493294,0.08984375,0.11219512195122
SH3BGRL2,-3.21270138000271,-0.690713511149119,FALSE,0.146341463414634,SH3BGRL2,0.796067415730337,0.0992555831265509,0.146341463414634
PFDN4,-3.21713075777615,-0.404492642942745,FALSE,0.14390243902439,PFDN4,0.794459004118308,0.0970394736842105,0.14390243902439
PRPF38A,-3.21759569588252,-0.43015338078795,FALSE,0.169512195121951,PRPF38A,0.770155985716971,0.102055800293686,0.169512195121951
TMEM30B,-3.22149711665537,-0.534771405240718,FALSE,0.192682926829268,TMEM30B,0.749528479818936,0.106325706594886,0.192682926829268
MOB1A,-3.22526763199588,-0.362935713652027,FALSE,0.204878048780488,MOB1A,0.732615268329554,0.10612760581175,0.204878048780488
YTHDF2,-3.22548515007099,-0.553042083662167,FALSE,0.135365853658537,YTHDF2,0.80239297064872,0.0950342465753425,0.135365853658537
PMPCB,-3.22674803851208,-0.396386293213496,FALSE,0.169512195121951,PMPCB,0.769968051118211,0.101980924431401,0.169512195121951
ACYP1,-3.22740061675956,-1.19978196367165,FALSE,0.0463414634146341,ACYP1,0.889708594614533,0.059748427672956,0.0463414634146341
PPP2R2A,-3.23107889558263,-0.600371651997829,FALSE,0.114634146341463,PPP2R2A,0.824263883712263,0.0906460945033751,0.114634146341463
