path,0,1,2,3,4,5,6,7,8,9,10
PID_A6B1_A6B4_INTEGRIN_PATHWAY,2.087297194987543,-0.7763820639614696,0.5472146820850082,-0.8664806878396033,-0.5990383109777342,0.1431944158336077,-2.1583709340201804,-0.0446138015621461,-0.7342586092266051,1.282131324701675,0.3662638568875015
PID_AJDISS_2PATHWAY,1.3828290440460584,-0.3557555425688185,0.867708792525784,-0.8131912150943608,-0.3397421456168159,0.1152727537348237,-1.5193548061717497,-0.3870099179185496,-1.7871736967507903,0.0358313351191911,0.412175405516048
PID_ALPHA_SYNUCLEIN_PATHWAY,-0.5202918497699552,-0.2488639438253089,-0.4844819343199263,0.1889556803192781,-0.2467466987246331,-0.1350563356632119,2.78140327411762,-0.0551380877508396,0.1850048110807884,-0.2692490507794557,-0.3331788875529118
PID_AMB2_NEUTROPHILS_PATHWAY,-0.5032045202933436,-0.3022699488473412,-0.4679339077760142,-0.2826959543100382,-0.2633261224028634,-0.1493601797799538,3.640131246040111,-0.0947425984454365,0.1608008001594936,-0.2455839331953987,-0.3485541093676358
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY,-0.7382397795375264,-0.2558092177265261,-0.4723431261351381,-0.2450565780323833,-0.3076633602125303,-0.1775056516113348,4.396094180896154,-0.2159870091003902,-0.0652754525356008,-0.7018445882569209,-0.4492140827857618
PID_AP1_PATHWAY,-0.5342673913220816,0.2929334163589157,0.0986122692566083,-0.97786081833759,1.6767288739205195,1.1861053091914389,-1.613526164453328,0.87216555707233,-2.5773445231693626,-2.0513266549522244,-0.6693423461381642
PID_AR_NONGENOMIC_PATHWAY,-0.730997826730173,-0.0725197066463363,-0.4781247323075713,0.4007938942295007,-0.1823106031961427,-0.2013820801525032,2.6247966730645684,-0.1386402335053692,0.2955104163882897,-0.4512448908176651,-0.1325491230845401
PID_AR_PATHWAY,-1.3182820207947594,0.3483423558674992,-0.7493823752638478,0.1178927299073031,-0.4698600405606822,0.8781564479977229,0.5248018603473199,2.0084869685221483,4.216115235275892,-1.4718336985344758,-1.3166567024229443
PID_AR_TF_PATHWAY,-0.9861303066619448,0.1580145992827712,-0.5034943237807952,-0.3948742542151474,-0.1877723601109437,0.2838267463425376,2.610155869932326,0.7814146672854392,0.9670808103091708,-1.2818820967545128,-0.3231619021202034
PID_ARF6_DOWNSTREAM_PATHWAY,1.465404204732018,-0.8026465003136161,0.2227571729913227,-0.5686845175725049,-0.1779764104076683,0.0014587201863196,-0.6197015059083495,-0.3240702471281696,-1.1130934781983008,1.0814069585171506,-0.065189644478481
PID_ARF6_TRAFFICKING_PATHWAY,-0.81571648018623,-0.0923083588262069,-0.774017992366354,0.0756080424986596,-0.0618657984580899,-0.2266762631352776,3.523247638140145,0.0115732994742831,0.16010575955622,0.1236026199827947,-0.4390974148240738
PID_ATF2_PATHWAY,-0.6655969588788668,0.5998125349558934,0.2012205592233732,-0.8027846482295548,1.3919227388608355,0.7776804131736919,-1.3096754149405467,0.6508659475327483,-2.5844880652920783,-2.049411841340326,-0.07342515828908
PID_ATM_PATHWAY,-0.5998491024395852,0.7450127945129624,-0.1720514649258085,-0.2152391135869613,-0.1584032814653131,-0.0975538703086818,0.0728080893574163,0.8548429399906166,0.9225340030180942,-0.8505847104765224,-0.4897291800696626
PID_ATR_PATHWAY,-0.7292361961786448,0.6562680002591156,-0.563318886082761,0.0578587681670006,-0.2020451694903282,-0.2263814668813,-0.3948223195587156,2.1467571510996684,1.5295715655802429,-0.6770916528085177,-0.7224917492680607
PID_AURORA_A_PATHWAY,-0.6573870183713763,0.554661329612923,-0.5606357942941336,0.1110483552633356,-0.1474641461948903,-0.1624218881818427,-0.3020269684011862,1.5581870097303023,2.547173537139688,-0.6399401393089519,-0.6616633648244474
PID_AURORA_B_PATHWAY,-1.1606071960343356,0.5764171542606289,-0.8299918107251113,0.1876082141825829,-0.2755656180039914,-0.0462934968054689,0.1617507284476969,2.5836461466961285,3.277917229917492,-1.0807442099382676,-1.0786459569678772
PID_AVB3_INTEGRIN_PATHWAY,-0.1491121134593512,0.0336915090832637,-0.1059829443731707,0.1003812289752278,-0.0223654363009015,0.0193257499358883,-0.0259650420598523,-0.006123005506387,1.630212147471222,-0.1875180228451097,-0.1246811637955242
PID_AVB3_OPN_PATHWAY,0.4922554839808621,0.0414276284655661,0.2274441482570387,-0.7138433265210308,1.1095408723850193,0.3891445572065164,-2.389355858204968,0.3527931485593106,-1.8836216507396204,-0.5656859029755021,0.4848627902161677
PID_BARD1_PATHWAY,-0.9703700251839058,0.0688198217047048,-0.765119891816476,-0.064141556079295,-0.1316514240060448,0.4217146911800106,0.604590788883703,2.230016124819553,3.0392935857170627,-1.1672319164502856,-0.8509226881826477
PID_BCR_5PATHWAY,-0.4329953327325814,-0.269054211747266,-0.3275844589731011,-0.030366348236495,-0.4455272393627354,-0.3090181207181435,3.382345339249885,-0.2943099629369649,0.3170706485717527,-0.2329658744959267,-0.1949297527822858
PID_CASPASE_PATHWAY,-0.7350655579324299,-0.2735555685956916,-0.7295413228716486,-0.2336545202833219,-0.8079822682800082,-0.2884074424868384,5.564472840229024,-0.1168317811850902,-0.0114308882570151,-0.5704324975515975,-0.5960283055032523
PID_CD40_PATHWAY,-0.1822409596346773,-0.2273256407786681,-0.3873878918365253,-0.3932317740489088,-0.2895893931922954,-0.3295142686110495,3.368615682178239,-0.3229422360296454,-0.2241587686699621,-0.4484476171983733,-0.1029774205214221
